age,WORKCLASS,fnlwgt,EDUCATION,educational_num,MARITAL_STATUS,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income_>50K
50,5,282701,7,9,3,5,3,1,1,4386,0,48,1,1
20,1,436253,4,10,2,2,2,1,1,0,0,35,1,0
23,1,249046,8,6,3,7,3,1,1,0,0,40,1,0
32,6,204470,4,10,3,6,3,1,1,0,0,99,1,1
58,5,92141,15,12,4,4,1,2,2,0,0,40,1,0
37,1,910398,3,13,2,6,1,2,2,0,0,40,1,0
29,5,214385,9,7,1,2,5,2,2,0,0,20,1,0
31,1,109055,7,9,3,8,3,1,1,3137,0,45,1,0
19,1,148644,7,9,2,4,2,1,2,0,0,40,1,0
63,5,241404,4,10,1,9,1,1,2,0,0,35,1,0
34,1,176244,7,9,3,5,6,1,2,0,0,40,7,0
33,3,48214,10,14,3,10,4,1,2,0,0,8,1,0
47,1,168262,4,10,3,1,3,1,1,0,0,60,1,1
32,6,78530,4,10,3,1,3,1,1,15024,0,50,1,1
65,#N/A,190454,9,7,3,#N/A,3,1,1,0,0,29,1,0
42,2,82161,7,9,3,9,3,1,1,0,0,72,1,1
26,1,213412,9,7,3,11,3,1,1,0,0,40,1,0
38,1,61343,6,5,3,11,3,1,1,0,0,40,1,0
54,2,161334,10,14,5,10,1,3,2,0,0,40,10,0
43,3,180599,7,9,2,11,1,1,1,0,0,35,1,0
27,1,129528,4,10,2,6,1,1,2,0,0,40,1,0
39,1,139647,4,10,1,1,5,1,2,0,0,56,1,0
55,1,322691,10,14,4,1,2,1,1,0,0,62,1,1
42,1,251795,4,10,3,10,4,1,2,0,0,50,1,1
62,#N/A,123612,3,13,3,#N/A,3,1,1,0,0,4,1,0
30,1,185027,3,13,3,10,3,1,1,0,0,40,1,1
28,1,285897,3,13,3,1,3,1,1,0,0,40,1,0
27,4,37274,7,9,2,11,2,1,1,0,0,20,1,0
57,1,230899,13,3,#N/A,5,1,1,2,0,0,40,1,0
53,1,590941,1,16,2,10,5,1,2,0,1408,40,1,0
20,1,115057,7,9,2,11,1,1,1,0,0,40,1,0
26,1,121040,15,12,2,1,2,2,2,0,0,40,1,0
19,1,193859,4,10,2,4,1,1,1,2176,0,35,14,0
23,5,145112,3,13,2,10,2,1,2,0,0,43,1,0
44,1,99651,10,14,3,1,3,1,1,5178,0,40,1,1
43,2,23157,7,9,2,3,1,1,1,0,0,60,1,0
65,5,323006,7,9,4,2,5,2,2,0,0,25,1,0
55,1,368797,10,14,3,1,3,1,1,0,1977,60,1,1
17,1,216137,6,5,2,6,2,1,2,0,0,15,1,0
56,1,95763,8,6,1,11,1,1,1,0,0,45,1,0
43,1,117037,9,7,3,3,3,1,1,0,2042,40,1,0
37,1,206699,7,9,1,12,2,1,1,0,0,45,1,0
40,4,171231,3,13,2,4,1,1,1,0,0,40,16,0
27,1,347513,4,10,2,4,1,1,2,0,0,40,1,0
60,1,95680,7,9,3,1,3,3,1,0,0,45,1,1
20,1,104981,7,9,2,6,1,1,1,0,0,40,1,0
69,1,159522,5,4,1,5,5,2,2,2964,0,40,1,0
63,5,109849,3,13,2,10,1,2,2,0,0,21,1,0
42,1,33002,7,9,3,1,3,1,1,0,0,48,1,0
19,1,163885,7,9,2,5,2,1,2,0,0,40,1,0
26,5,211497,4,10,3,10,3,1,1,0,0,40,1,0
34,4,345259,1,16,2,10,1,1,2,0,0,99,1,0
66,1,73522,4,10,3,6,3,1,1,0,0,40,#N/A,0
40,1,239708,7,9,1,11,1,1,1,0,0,50,1,0
26,1,199224,4,10,2,7,1,1,1,0,0,30,1,0
24,1,216469,7,9,3,5,3,1,1,0,1579,50,1,0
50,6,160151,4,10,3,6,3,1,1,0,0,60,1,1
34,2,355700,7,9,#N/A,4,5,1,2,0,0,20,1,0
41,1,35166,12,15,3,10,3,1,1,15024,0,50,1,1
49,5,321851,15,12,1,4,1,1,2,0,0,30,1,0
24,1,86153,4,10,2,4,1,1,2,0,0,40,1,0
55,3,98361,7,9,2,11,2,1,1,0,0,35,1,0
36,3,160120,3,13,3,6,3,#N/A,1,0,0,45,#N/A,0
31,1,147215,2,8,1,2,5,1,2,0,0,21,1,0
56,1,367200,7,9,1,11,6,1,1,0,0,40,1,0
42,3,120539,3,13,3,6,3,1,1,0,0,50,1,1
23,1,82777,7,9,3,1,3,1,1,0,0,30,1,0
46,3,346783,12,15,3,10,3,1,1,15024,0,35,18,1
40,1,60594,4,10,1,2,5,1,2,0,0,30,1,0
44,1,195258,10,14,1,1,1,1,1,0,0,50,1,0
27,1,32519,4,10,3,6,3,3,1,0,0,55,3,0
21,#N/A,121694,5,4,2,#N/A,2,1,1,0,0,40,1,0
58,3,130714,10,14,3,1,3,1,1,0,0,50,1,0
60,1,167670,3,13,3,10,3,1,1,0,0,35,1,0
40,1,123306,#N/A,11,3,10,3,1,1,0,0,40,1,1
19,1,194608,6,5,2,7,2,1,2,0,0,40,1,0
27,5,132718,7,9,2,3,2,2,1,0,0,40,1,0
41,1,289551,7,9,3,7,3,1,1,7688,0,40,1,1
32,1,331539,7,9,2,11,1,#N/A,1,0,0,40,1,0
47,6,188610,7,9,3,5,3,1,1,0,0,48,1,0
50,1,27484,7,9,3,1,3,1,1,0,0,50,1,1
21,1,338162,7,9,3,5,4,2,2,0,0,37,1,0
18,1,275848,2,8,2,6,6,1,2,0,0,16,1,0
24,6,165474,3,13,2,6,2,1,1,0,0,40,1,0
38,1,103323,7,9,1,5,1,1,1,0,0,40,1,0
45,1,210875,7,9,3,11,3,1,1,0,0,40,1,0
69,1,98170,5,4,4,2,1,1,2,1086,0,20,1,0
32,3,45604,3,13,3,8,3,1,1,0,0,70,1,0
21,1,654141,7,9,2,11,1,2,1,0,0,32,1,0
19,#N/A,208874,4,10,2,#N/A,2,1,1,0,0,40,1,0
45,#N/A,27184,7,9,4,#N/A,5,1,2,0,0,38,1,0
64,1,143110,3,13,4,10,1,1,2,0,0,30,1,0
28,1,285294,3,13,3,6,4,2,2,15024,0,45,1,1
41,#N/A,152880,7,9,1,#N/A,1,2,2,0,0,28,1,0
49,1,101320,10,14,1,1,1,1,2,0,0,75,1,0
59,1,653215,9,7,4,3,5,1,2,0,0,40,1,0
50,2,54342,7,9,3,3,3,1,1,0,0,40,1,0
58,2,280519,7,9,1,2,2,2,1,0,0,40,1,0
46,5,200727,10,14,3,10,3,1,1,0,0,50,1,1
38,1,27408,7,9,1,11,5,1,1,0,0,50,1,0
38,1,103323,4,10,3,11,3,1,1,7688,0,40,1,1
28,5,207213,15,12,2,11,2,1,1,0,0,5,1,0
25,1,169323,3,13,3,1,2,1,2,0,0,40,1,0
29,1,71067,12,15,2,10,1,1,2,0,0,55,1,0
33,4,207172,7,9,2,1,1,1,2,0,0,40,1,0
33,3,222162,7,9,3,11,3,1,1,0,0,40,1,0
30,1,167832,7,9,3,5,3,1,1,0,0,40,1,0
36,1,220585,15,12,3,1,3,1,1,0,0,50,1,1
22,#N/A,327060,7,9,2,#N/A,5,2,1,0,0,8,1,0
35,1,148903,7,9,1,6,5,1,2,0,0,40,1,0
56,#N/A,141076,7,9,1,#N/A,1,2,2,3674,0,40,1,0
40,1,154076,7,9,3,11,3,1,1,0,0,45,1,0
27,1,195337,4,10,2,5,1,1,2,0,0,40,1,0
43,4,79529,7,9,3,4,4,1,2,0,0,35,1,0
38,1,186934,7,9,3,5,3,1,1,0,0,40,1,0
39,1,205359,15,12,4,4,5,1,2,0,0,45,1,0
20,1,199698,6,5,2,3,5,1,1,0,0,35,1,0
32,1,160594,4,10,2,2,2,1,1,0,0,35,1,0
43,1,147510,3,13,1,10,5,1,1,0,0,40,1,0
41,4,207685,3,13,2,1,1,1,1,0,0,40,1,1
39,1,30828,7,9,1,7,1,1,1,0,0,40,1,0
32,1,239662,7,9,3,11,3,2,1,0,1579,36,1,0
28,1,340269,7,9,3,11,3,1,1,3137,0,45,1,0
24,1,200967,7,9,3,11,4,1,2,0,0,36,1,0
51,6,192973,3,13,3,9,3,2,1,0,0,40,1,1
38,1,206951,4,10,2,11,2,1,1,0,0,40,1,0
23,1,120601,#N/A,11,3,11,3,2,1,0,0,40,1,0
46,1,158825,7,9,1,11,1,1,2,14344,0,40,1,1
48,1,185041,5,4,3,3,3,1,1,0,1672,55,1,0
43,3,47261,4,10,3,8,3,1,1,0,0,50,1,0
17,1,75333,8,6,2,6,2,2,2,0,0,24,1,0
41,1,196001,7,9,3,6,4,1,2,0,0,20,1,0
30,2,141297,3,13,3,10,3,3,1,0,0,40,19,1
25,1,113099,7,9,#N/A,11,1,2,1,0,0,40,1,0
26,1,162302,4,10,2,5,1,3,1,0,0,40,9,0
48,5,189762,7,9,3,11,3,1,1,0,0,40,1,1
48,1,189123,10,14,2,5,1,1,1,0,0,40,1,0
51,3,103257,12,15,3,10,3,1,1,0,0,40,1,0
31,3,161745,3,13,5,1,1,1,1,0,1980,60,1,0
24,2,43475,3,13,2,10,1,1,1,0,0,40,1,0
58,1,102791,7,9,1,2,2,1,2,0,0,40,1,0
36,1,379522,7,9,3,11,3,1,1,15024,0,40,1,1
40,1,283724,6,5,2,11,6,2,1,0,0,49,1,0
67,#N/A,159542,13,3,4,#N/A,5,2,2,0,0,40,1,0
47,1,262043,3,13,5,4,1,1,2,0,0,40,1,0
39,2,99156,1,16,3,10,3,1,1,0,0,50,1,1
35,1,207819,3,13,3,1,3,1,1,15024,0,50,1,1
22,1,184543,4,10,1,4,5,1,2,0,0,40,1,0
45,3,201080,10,14,3,6,3,1,1,0,0,40,1,1
25,1,211392,7,9,2,2,1,1,1,0,0,48,1,0
21,1,230248,7,9,2,4,1,1,2,0,0,25,1,0
55,5,200448,4,10,1,4,1,2,1,0,0,40,1,0
26,1,34402,3,13,2,4,1,1,1,0,0,45,1,0
38,1,103925,7,9,2,4,5,1,2,0,0,35,1,0
44,1,88808,2,8,3,3,3,1,1,0,0,40,1,0
43,1,167599,9,7,3,7,4,1,2,0,0,25,1,0
18,1,118376,4,10,2,6,2,1,2,0,0,15,1,0
35,1,187119,4,10,1,1,1,1,2,0,0,70,1,0
31,1,328734,10,14,2,10,1,1,2,0,0,30,1,0
53,4,439263,3,13,3,4,3,2,1,0,0,40,1,1
49,1,265295,7,9,2,11,1,1,1,0,0,40,1,0
28,1,111900,15,12,3,6,3,1,1,0,0,30,1,0
42,#N/A,32533,4,10,2,#N/A,1,1,1,0,0,45,1,0
24,1,83783,3,13,2,12,2,1,2,0,0,40,1,0
61,#N/A,347089,7,9,3,#N/A,3,1,1,0,0,16,1,0
26,1,154604,7,9,1,6,5,1,2,0,0,40,1,0
53,1,226135,6,5,2,11,1,2,1,0,0,40,13,0
18,3,207438,7,9,3,2,4,1,2,0,0,40,1,0
51,1,68882,14,2,4,2,5,1,2,0,0,35,4,0
33,1,219034,9,7,2,6,1,1,2,0,0,40,1,0
58,3,310014,3,13,3,8,3,1,1,0,0,25,1,0
19,#N/A,385901,4,10,2,#N/A,2,1,1,0,0,22,1,0
32,1,169512,3,13,3,6,3,2,1,0,0,60,1,1
63,1,440607,11,1,3,10,3,#N/A,1,0,0,30,7,0
69,1,361561,12,15,3,10,3,1,1,0,0,3,1,0
43,1,211128,10,14,1,1,1,1,2,0,0,50,1,1
34,1,263908,4,10,3,6,3,1,1,0,0,50,1,0
38,1,102350,4,10,1,11,5,1,1,0,0,40,1,0
40,1,85668,5,4,3,11,3,1,1,0,0,60,1,0
44,1,112797,6,5,1,2,2,1,2,0,0,50,1,0
59,#N/A,184948,#N/A,11,1,#N/A,1,1,1,0,0,48,1,0
35,1,111377,7,9,#N/A,3,1,1,1,0,0,40,1,0
48,1,345831,4,10,3,12,3,1,1,0,0,40,1,1
22,1,326334,4,10,2,11,2,1,1,0,0,35,1,0
44,1,33521,4,10,3,1,3,1,1,0,0,40,1,1
36,1,221650,4,10,3,11,3,1,1,0,0,40,2,0
51,5,154891,7,9,1,9,5,1,1,0,0,52,1,0
34,1,163110,10,14,3,6,3,1,1,0,0,40,1,0
34,1,302770,4,10,3,6,3,1,1,0,0,60,1,0
62,1,161802,14,2,3,14,4,2,2,0,0,30,1,0
22,1,298489,4,10,2,11,2,1,1,0,0,40,1,0
37,1,182668,8,6,3,3,3,1,1,0,0,35,1,0
22,5,34029,3,13,2,10,2,1,2,0,0,20,1,0
24,1,275093,7,9,2,7,1,1,2,0,0,36,1,0
72,#N/A,173427,7,9,3,#N/A,3,1,1,0,0,40,18,0
45,1,370274,2,8,3,11,3,1,1,0,0,40,1,0
42,1,482211,7,9,2,11,6,1,1,0,0,40,1,0
30,1,97723,7,9,3,11,3,1,1,0,0,35,1,1
35,1,189102,7,9,3,1,3,1,1,0,0,55,1,1
37,1,403344,7,9,3,11,3,1,1,0,0,40,1,0
45,1,189792,10,14,3,6,3,1,1,0,0,40,1,1
20,1,262877,7,9,2,11,1,1,2,0,0,55,1,0
40,1,226505,7,9,3,4,4,1,2,0,0,46,1,1
57,3,321456,7,9,3,8,3,1,1,0,0,20,1,0
45,3,271828,3,13,3,11,3,1,1,0,0,20,1,0
31,1,56510,4,10,3,11,3,3,1,0,0,40,1,0
21,1,345253,4,10,2,4,1,#N/A,1,2174,0,40,1,0
29,1,133136,2,8,3,3,3,1,1,0,0,40,1,1
29,1,132686,7,9,1,5,5,1,1,0,0,40,1,0
41,1,311101,7,9,1,11,1,1,1,0,0,40,1,0
27,5,225291,15,12,2,10,1,1,2,0,0,40,1,0
69,#N/A,106566,1,16,3,#N/A,3,1,1,0,0,50,1,1
36,1,172571,7,9,3,6,3,1,1,0,0,45,1,0
76,#N/A,209674,5,4,1,#N/A,1,1,2,0,0,7,1,0
42,1,39060,7,9,3,6,3,1,1,0,0,60,1,1
42,1,144594,7,9,3,11,3,1,1,0,0,40,1,1
26,1,297991,3,13,3,6,1,3,2,0,1977,75,20,1
61,2,347445,10,14,3,1,3,1,1,0,0,40,1,1
43,1,456236,10,14,3,1,3,1,1,0,0,50,1,1
30,3,227429,7,9,2,1,1,1,1,0,0,45,21,0
55,1,380357,3,13,3,6,3,1,1,0,0,60,#N/A,1
50,1,176157,10,14,3,1,3,1,1,0,0,50,1,1
34,1,274577,7,9,1,4,5,2,2,0,0,40,1,0
33,1,119176,4,10,4,4,5,1,2,0,0,40,1,0
19,1,256979,7,9,2,11,6,1,1,0,0,35,1,0
32,1,358655,10,14,1,6,1,1,2,0,0,50,1,1
60,5,195409,10,14,3,10,3,1,1,15024,0,52,1,1
56,3,19896,4,10,3,6,4,1,2,0,0,60,1,1
66,1,102423,#N/A,11,3,4,3,1,1,0,0,30,1,0
22,1,190625,4,10,2,4,2,1,1,0,0,35,1,0
36,3,202950,3,13,3,1,3,1,1,0,0,50,22,0
56,1,247337,3,13,3,10,3,1,1,0,0,50,1,1
19,1,248749,4,10,2,6,2,1,1,0,0,20,1,0
21,#N/A,80680,7,9,2,#N/A,1,1,2,0,0,40,1,0
40,1,34722,4,10,1,3,1,1,1,0,0,48,1,1
35,1,170617,7,9,2,5,5,2,2,0,0,48,1,0
62,5,68268,7,9,3,3,3,1,1,0,0,40,1,0
45,4,170915,7,9,1,12,1,1,2,4865,0,40,1,0
60,1,166330,7,9,3,4,4,1,2,0,0,40,1,0
59,1,216851,7,9,2,5,1,1,1,0,0,40,1,0
36,1,143123,12,15,3,10,3,1,1,0,0,50,1,1
35,1,41777,2,8,2,8,1,1,1,0,0,20,1,0
40,1,175686,4,10,1,4,5,1,2,0,0,40,1,0
32,5,42596,3,13,1,10,1,1,1,0,0,40,1,0
41,6,218302,3,13,3,6,3,1,1,0,0,60,1,1
52,1,139176,7,9,3,6,3,1,1,0,0,8,1,0
63,5,80655,4,10,1,4,1,1,2,0,0,40,1,0
37,3,265266,12,15,3,10,3,1,1,0,0,40,18,1
29,1,163167,7,9,1,6,2,1,1,0,0,40,1,0
17,1,53611,2,8,2,2,2,1,2,0,0,6,1,0
22,1,226327,4,10,2,4,2,1,2,0,0,40,1,0
29,5,128091,7,9,2,3,5,1,2,0,0,40,1,0
21,#N/A,123983,4,10,2,#N/A,2,#N/A,1,0,0,20,1,0
73,#N/A,191394,12,15,3,#N/A,3,1,1,0,0,40,1,0
33,1,258932,7,9,1,1,1,1,2,0,0,40,1,0
21,1,155483,4,10,2,11,1,1,1,0,0,40,1,0
24,1,283613,3,13,3,10,3,1,1,0,0,40,1,0
50,1,65408,7,9,3,11,3,1,1,0,0,50,1,1
56,1,242782,7,9,4,6,1,1,2,0,0,44,1,0
30,5,295737,7,9,3,10,3,1,1,0,0,40,1,0
50,1,205803,10,14,3,6,3,1,1,15024,0,40,1,1
55,1,35551,7,9,1,11,1,1,1,0,0,40,1,0
53,4,141340,7,9,3,3,3,1,1,0,0,40,1,1
80,1,148623,12,15,3,10,3,1,1,0,0,35,1,1
58,1,156040,15,12,3,5,3,2,1,0,1848,40,1,1
36,1,136629,4,10,3,5,3,1,1,0,0,40,1,1
22,1,315476,9,7,2,11,5,1,1,0,0,40,1,0
66,2,132055,7,9,3,1,3,1,1,0,1825,40,1,1
61,4,91726,10,14,3,12,4,1,2,0,0,40,1,1
32,1,312667,3,13,5,1,1,1,1,2174,0,55,1,0
53,5,204397,7,9,3,1,3,1,1,0,0,60,1,0
40,1,180206,15,12,3,1,3,1,1,0,0,40,1,1
19,1,87653,4,10,2,2,2,1,2,0,0,25,1,0
29,1,212588,7,9,3,11,3,1,1,0,0,40,1,0
21,1,325923,4,10,2,12,2,1,1,0,0,35,1,0
28,1,216178,3,13,3,1,3,1,1,0,0,50,1,1
30,1,245211,7,9,3,5,3,1,1,0,2002,43,1,0
41,1,116797,7,9,3,6,3,1,1,7298,0,50,1,1
45,6,122206,15,12,3,1,3,1,1,0,0,50,1,1
31,1,231043,4,10,3,3,3,1,1,0,0,50,1,0
24,1,142227,3,13,2,4,1,1,2,0,0,30,1,0
43,3,34007,3,13,3,8,3,1,1,0,0,70,1,1
28,1,375482,3,13,2,6,1,1,1,0,0,40,1,0
60,#N/A,160155,3,13,3,#N/A,3,1,1,0,0,12,1,0
